subject,italian,menu_date,veggie_label,response
67,TRUE,4,organic-sustainable,0
67,TRUE,6,standard,0
67,TRUE,16,organic,0
67,TRUE,23,organic-sustainable,0
67,TRUE,27,organic,1
67,TRUE,30,organic-sustainable,1
42,TRUE,5,standard,1
42,TRUE,7,organic-sustainable,0
42,TRUE,8,organic,1
42,TRUE,9,sustainable,0
42,TRUE,12,sustainable,1
42,TRUE,13,organic-sustainable,1
42,TRUE,17,organic-sustainable,0
42,TRUE,18,sustainable,1
42,TRUE,20,organic-sustainable,1
42,TRUE,21,standard,1
42,TRUE,23,organic-sustainable,1
42,TRUE,24,sustainable,1
280,TRUE,1,standard,1
280,TRUE,2,organic,0
280,TRUE,6,standard,0
280,TRUE,7,organic-sustainable,0
280,TRUE,11,standard,0
280,TRUE,12,sustainable,1
280,TRUE,15,standard,1
280,TRUE,16,organic,1
280,TRUE,18,sustainable,1
280,TRUE,27,organic,1
280,TRUE,29,standard,1
380,FALSE,8,organic,0
380,FALSE,9,sustainable,1
380,FALSE,10,standard,1
380,FALSE,13,organic-sustainable,0
380,FALSE,14,standard,1
380,FALSE,18,sustainable,1
380,FALSE,23,organic-sustainable,1
380,FALSE,24,sustainable,1
380,FALSE,25,standard,1
380,FALSE,27,organic,1
380,FALSE,28,standard,0
380,FALSE,30,organic-sustainable,1
380,FALSE,31,standard,1
423,FALSE,4,organic-sustainable,1
423,FALSE,10,standard,0
423,FALSE,23,organic-sustainable,1
157,TRUE,2,organic,0
157,TRUE,4,organic-sustainable,0
157,TRUE,7,organic-sustainable,0
157,TRUE,12,sustainable,0
157,TRUE,14,organic,0
157,TRUE,18,sustainable,1
157,TRUE,20,organic-sustainable,0
157,TRUE,25,standard,0
249,FALSE,5,standard,0
249,FALSE,7,organic-sustainable,0
249,FALSE,12,sustainable,0
249,FALSE,14,organic,0
249,FALSE,31,standard,0
43,FALSE,4,organic-sustainable,1
43,FALSE,5,standard,1
43,FALSE,7,organic-sustainable,1
43,FALSE,9,sustainable,1
43,FALSE,10,standard,0
43,FALSE,12,sustainable,1
43,FALSE,14,organic,0
43,FALSE,16,organic,1
43,FALSE,20,organic-sustainable,1
43,FALSE,23,organic-sustainable,0
68,FALSE,3,sustainable,0
68,FALSE,7,organic-sustainable,0
68,FALSE,8,organic,0
68,FALSE,12,sustainable,0
68,FALSE,14,organic,0
68,FALSE,23,organic-sustainable,0
68,FALSE,30,organic-sustainable,0
68,FALSE,31,standard,0
69,TRUE,1,standard,0
69,TRUE,2,organic,0
69,TRUE,5,standard,0
69,TRUE,16,organic,0
281,TRUE,1,standard,0
281,TRUE,2,organic,0
281,TRUE,6,standard,0
281,TRUE,7,organic-sustainable,0
281,TRUE,11,standard,0
281,TRUE,12,sustainable,0
281,TRUE,15,standard,0
281,TRUE,16,organic,0
281,TRUE,18,sustainable,0
281,TRUE,26,standard,0
281,TRUE,27,organic,0
70,TRUE,2,organic,1
70,TRUE,3,sustainable,1
70,TRUE,9,sustainable,0
70,TRUE,11,standard,0
70,TRUE,12,sustainable,1
70,TRUE,13,organic-sustainable,1
70,TRUE,14,organic,1
70,TRUE,14,standard,1
70,TRUE,20,organic-sustainable,1
70,TRUE,23,organic-sustainable,1
70,TRUE,24,sustainable,1
70,TRUE,25,standard,1
